length,measurement_num,time_dot,time_star
100,1,1.6e-6,5.52e-5
100,2,1.0e-7,7.32e-5
100,3,0.0,7.8e-5
100,4,1.0e-7,3.72e-5
100,5,1.0e-7,4.06e-5
100,6,1.0e-7,7.49e-5
100,7,0.0,3.29e-5
100,8,1.0e-7,3.5e-5
100,9,1.0e-7,3.26e-5
100,10,1.0e-7,3.43e-5
200,1,1.0e-7,4.67e-5
200,2,0.0,6.51e-5
200,3,1.0e-7,6.11e-5
200,4,1.0e-7,8.75e-5
200,5,0.0,0.0001085
200,6,1.0e-7,8.99e-5
200,7,1.0e-7,7.52e-5
200,8,1.0e-7,7.24e-5
200,9,1.0e-7,7.84e-5
200,10,1.0e-7,8.19e-5
300,1,1.0e-7,0.0001148
300,2,2.0e-7,0.000163
300,3,1.0e-7,0.0001854
300,4,1.0e-7,0.0001346
300,5,1.0e-7,8.74e-5
300,6,0.0,0.0001045
300,7,1.0e-7,8.09e-5
300,8,1.0e-7,8.38e-5
300,9,1.0e-7,0.0001149
300,10,1.0e-7,5.77e-5
400,1,1.0e-7,0.0001179
400,2,1.0e-7,0.000144
400,3,0.0,0.0002003
400,4,1.0e-7,0.0001548
400,5,2.0e-7,9.53e-5
400,6,1.0e-7,0.0001473
400,7,1.0e-7,0.0001233
400,8,1.0e-7,0.000134
400,9,1.0e-7,0.0001253
400,10,0.0,0.0001324
500,1,1.0e-7,0.000294
500,2,1.0e-7,0.0002456
500,3,1.0e-7,0.0002231
500,4,1.0e-7,0.0002542
500,5,1.0e-7,0.0002629
500,6,0.0,0.0002623
500,7,1.0e-7,0.0001599
500,8,1.0e-7,0.0002137
500,9,1.0e-7,0.0002072
500,10,1.0e-7,0.0001849
600,1,2.0e-7,0.0002821
600,2,1.0e-7,0.0003091
600,3,1.0e-7,0.0003129
600,4,1.0e-7,0.0002884
600,5,1.0e-7,0.0002713
600,6,1.0e-7,0.000309
600,7,1.0e-7,0.0002624
600,8,1.0e-7,0.000284
600,9,1.0e-7,0.0003252
600,10,1.0e-7,0.0002611
700,1,1.0e-7,0.0003515
700,2,1.0e-7,0.0003708
700,3,1.0e-7,0.0003652
700,4,1.0e-7,0.0003587
700,5,1.0e-7,0.0003934
700,6,2.0e-7,0.0003536
700,7,1.0e-7,0.0003166
700,8,1.0e-7,0.0003786
700,9,2.0e-7,0.0003837
700,10,1.0e-7,0.0003593
800,1,1.0e-7,0.0004809
800,2,1.0e-7,0.0004778
800,3,1.0e-7,0.0004573
800,4,1.0e-7,0.0004692
800,5,1.0e-7,0.0004603
800,6,1.0e-7,0.0004702
800,7,1.0e-7,0.0004822
800,8,1.0e-7,0.0005865
800,9,1.0e-7,0.0005361
800,10,1.0e-7,0.0004081
900,1,1.0e-7,0.0005396
900,2,1.0e-7,0.000533
900,3,2.0e-7,0.0005752
900,4,2.0e-7,0.000569
900,5,1.0e-7,0.000519
900,6,2.0e-7,0.0005335
900,7,2.0e-7,0.0006017
900,8,1.0e-7,0.000552
900,9,1.0e-7,0.0005496
900,10,1.0e-7,0.00053
1000,1,1.0e-7,0.0006587
1000,2,2.0e-7,0.0006831
1000,3,2.0e-7,0.0006477
1000,4,1.0e-7,0.0009588
1000,5,1.0e-7,0.0008308
1000,6,2.0e-7,0.0008859
1000,7,1.0e-7,0.0006613
1000,8,1.0e-7,0.0006328
1000,9,1.0e-7,0.0007158
1000,10,2.0e-7,0.0006338
1100,1,2.0e-7,0.0008765
1100,2,1.0e-7,0.0008711
1100,3,1.0e-7,0.000859
1100,4,1.0e-7,0.0008485
1100,5,2.0e-7,0.0008495
1100,6,2.0e-7,0.0010958
1100,7,2.0e-7,0.00083
1100,8,1.0e-7,0.0008247
1100,9,1.0e-7,0.0008246
1100,10,1.0e-7,0.0008299
1200,1,2.0e-7,0.0009376
1200,2,2.0e-7,0.000857
1200,3,2.0e-7,0.0008504
1200,4,2.0e-7,0.0008859
1200,5,2.0e-7,0.0009052
1200,6,2.0e-7,0.00123
1200,7,1.0e-7,0.0011275
1200,8,1.0e-7,0.0008827
1200,9,2.0e-7,0.0008328
1200,10,2.0e-7,0.0008711
1300,1,2.0e-7,0.000985
1300,2,1.0e-7,0.0010053
1300,3,3.0e-7,0.000994
1300,4,6.0e-7,0.0010609
1300,5,3.0e-7,0.0012319
1300,6,1.0e-7,0.0010171
1300,7,2.0e-7,0.0010952
1300,8,2.0e-7,0.0009941
1300,9,2.0e-7,0.0011431
1300,10,1.0e-7,0.0011943
1400,1,5.0e-7,0.0011713
1400,2,5.0e-7,0.0012671
1400,3,2.0e-7,0.0013843
1400,4,5.0e-7,0.0014103
1400,5,3.0e-7,0.0011306
1400,6,1.0e-7,0.0011557
1400,7,3.0e-7,0.0012112
1400,8,4.0e-7,0.0012373
1400,9,2.0e-7,0.001203
1400,10,5.0e-7,0.0017534
1500,1,2.0e-7,0.0013724
1500,2,2.0e-7,0.0012957
1500,3,2.0e-7,0.0013794
1500,4,3.0e-7,0.0013403
1500,5,4.0e-7,0.0015602
1500,6,4.0e-7,0.0014136
1500,7,3.0e-7,0.0013391
1500,8,3.0e-7,0.0013523
1500,9,2.0e-7,0.0015053
1500,10,2.0e-7,0.0013309
1600,1,5.0e-7,0.0014177
1600,2,3.0e-7,0.0014532
1600,3,4.0e-7,0.0014539
1600,4,3.0e-7,0.0014873
1600,5,3.0e-7,0.0015205
1600,6,4.0e-7,0.0014981
1600,7,4.0e-7,0.0014607
1600,8,4.0e-7,0.0020435
1600,9,5.0e-7,0.0015255
1600,10,2.0e-7,0.0016145
1700,1,3.0e-7,0.0021038
1700,2,2.0e-7,0.0020974
1700,3,3.0e-7,0.0024728
1700,4,3.0e-7,0.0033521
1700,5,5.0e-7,0.001592
1700,6,2.0e-7,0.001687
1700,7,5.0e-7,0.0018341
1700,8,2.0e-7,0.0016412
1700,9,5.0e-7,0.0016418
1700,10,2.0e-7,0.0016099
1800,1,3.0e-7,0.0019225
1800,2,6.0e-7,0.0020289
1800,3,3.0e-7,0.0022153
1800,4,3.0e-7,0.0019297
1800,5,3.0e-7,0.001837
1800,6,5.0e-7,0.0020291
1800,7,3.0e-7,0.0019377
1800,8,5.0e-7,0.0026771
1800,9,5.0e-7,0.0028
1800,10,3.0e-7,0.0024901
1900,1,3.0e-7,0.0022401
1900,2,3.0e-7,0.0032073
1900,3,3.0e-7,0.0029273
1900,4,3.0e-7,0.002384
1900,5,2.0e-7,0.0022864
1900,6,2.0e-7,0.0022469
1900,7,2.0e-7,0.0022564
1900,8,3.0e-7,0.0022444
1900,9,2.0e-7,0.0021596
1900,10,4.0e-7,0.0024958
2000,1,3.0e-7,0.0039048
2000,2,4.0e-7,0.0025933
2000,3,4.0e-7,0.0028713
2000,4,3.0e-7,0.0026015
2000,5,4.0e-7,0.0036347
2000,6,3.0e-7,0.0022541
2000,7,4.0e-7,0.0022714
2000,8,3.0e-7,0.0032025
2000,9,3.0e-7,0.003414
2000,10,6.0e-7,0.0022943
2100,1,3.0e-7,0.0025467
2100,2,4.0e-7,0.002517
2100,3,4.0e-7,0.0036886
2100,4,3.0e-7,0.0031365
2100,5,3.0e-7,0.00316
2100,6,7.0e-7,0.0031703
2100,7,4.0e-7,0.0031556
2100,8,5.0e-7,0.0028279
2100,9,2.0e-7,0.0025955
2100,10,4.0e-7,0.0025758
2200,1,6.0e-7,0.0032666
2200,2,4.0e-7,0.0028989
2200,3,6.0e-7,0.0028095
2200,4,5.0e-7,0.0029442
2200,5,4.0e-7,0.0038473
2200,6,4.0e-7,0.0034705
2200,7,3.0e-7,0.0033974
2200,8,5.0e-7,0.0033256
2200,9,8.0e-7,0.0043078
2200,10,3.0e-7,0.0031182
2300,1,4.0e-7,0.0033148
2300,2,6.0e-7,0.0033389
2300,3,5.0e-7,0.0033346
2300,4,4.0e-7,0.0031498
2300,5,4.0e-7,0.003349
2300,6,4.0e-7,0.0030756
2300,7,7.0e-7,0.002897
2300,8,4.0e-7,0.0034382
2300,9,4.0e-7,0.0038268
2300,10,4.0e-7,0.0036088
2400,1,5.0e-7,0.0035308
2400,2,4.0e-7,0.0030094
2400,3,7.0e-7,0.0031463
2400,4,8.0e-7,0.0043441
2400,5,4.0e-7,0.0033703
2400,6,6.0e-7,0.0031001
2400,7,5.0e-7,0.0044392
2400,8,4.0e-7,0.0037595
2400,9,5.0e-7,0.0039029
2400,10,5.0e-7,0.0047147
2500,1,5.0e-7,0.0037522
2500,2,6.0e-7,0.0039475
2500,3,4.0e-7,0.0048605
2500,4,5.0e-7,0.003557
2500,5,1.1e-6,0.0033968
2500,6,6.0e-7,0.0049043
2500,7,5.0e-7,0.0033908
2500,8,6.0e-7,0.0041694
2500,9,5.0e-7,0.0048544
2500,10,7.0e-7,0.0043757
2600,1,6.0e-7,0.0041531
2600,2,5.0e-7,0.0052199
2600,3,7.0e-7,0.0041702
2600,4,2.4e-6,0.003976
2600,5,6.0e-7,0.0051341
2600,6,5.0e-7,0.0037691
2600,7,5.0e-7,0.0041216
2600,8,6.0e-7,0.0054643
2600,9,6.0e-7,0.0040213
2600,10,5.0e-7,0.0036154
2700,1,7.0e-7,0.0052834
2700,2,5.0e-7,0.0042878
2700,3,6.0e-7,0.0040602
2700,4,5.0e-7,0.0058082
2700,5,5.0e-7,0.0039777
2700,6,5.0e-7,0.0040625
2700,7,5.0e-7,0.0056729
2700,8,5.0e-7,0.0047984
2700,9,6.0e-7,0.0052471
2700,10,5.0e-7,0.0059061
2800,1,7.0e-7,0.0041945
2800,2,7.0e-7,0.0048643
2800,3,6.0e-7,0.005608
2800,4,7.0e-7,0.0041001
2800,5,6.0e-7,0.0045724
2800,6,6.0e-7,0.0053218
2800,7,5.0e-7,0.005085
2800,8,5.0e-7,0.0042393
2800,9,1.0e-6,0.0059182
2800,10,6.0e-7,0.004167
2900,1,6.0e-7,0.0047533
2900,2,6.0e-7,0.0062714
2900,3,6.0e-7,0.0046351
2900,4,5.0e-7,0.0057228
2900,5,6.0e-7,0.0045231
2900,6,6.0e-7,0.0048567
2900,7,6.0e-7,0.0050872
2900,8,7.0e-7,0.0047722
2900,9,6.0e-7,0.005072
2900,10,6.0e-7,0.004884
3000,1,7.0e-7,0.0051739
3000,2,9.0e-7,0.0053491
3000,3,6.0e-7,0.0053785
3000,4,6.0e-7,0.0053126
3000,5,8.0e-7,0.0050924
3000,6,7.0e-7,0.0060734
3000,7,6.0e-7,0.0069554
3000,8,8.0e-7,0.0051536
3000,9,9.0e-7,0.0049332
3000,10,7.0e-7,0.0051579
3100,1,8.0e-7,0.0053756
3100,2,6.0e-7,0.0057074
3100,3,7.0e-7,0.0050796
3100,4,7.0e-7,0.0052042
3100,5,7.0e-7,0.0051741
3100,6,7.0e-7,0.0055426
3100,7,6.0e-7,0.0054042
3100,8,6.0e-7,0.0052573
3100,9,6.0e-7,0.0053387
3100,10,6.0e-7,0.0051428
3200,1,2.4e-6,0.0056627
3200,2,8.0e-7,0.0058759
3200,3,7.0e-7,0.005488
3200,4,9.0e-7,0.0053638
3200,5,7.0e-7,0.005437
3200,6,7.0e-7,0.0053168
3200,7,8.0e-7,0.0053834
3200,8,8.0e-7,0.0060053
3200,9,7.0e-7,0.0076858
3200,10,7.0e-7,0.0072123
3300,1,7.0e-7,0.006578
3300,2,7.0e-7,0.0069206
3300,3,7.0e-7,0.0080452
3300,4,7.0e-7,0.0058516
3300,5,8.0e-7,0.0061617
3300,6,7.0e-7,0.0056541
3300,7,6.0e-7,0.0060658
3300,8,1.1e-6,0.0061658
3300,9,6.0e-7,0.0057921
3300,10,7.0e-7,0.0057867
3400,1,7.0e-7,0.0064579
3400,2,7.0e-7,0.006232
3400,3,7.0e-7,0.0060171
3400,4,8.0e-7,0.0063633
3400,5,7.0e-7,0.0061654
3400,6,7.0e-7,0.0063466
3400,7,7.0e-7,0.0062619
3400,8,7.0e-7,0.0062799
3400,9,8.0e-7,0.0062633
3400,10,7.0e-7,0.0064682
3500,1,7.0e-7,0.0068614
3500,2,9.0e-7,0.0072268
3500,3,8.0e-7,0.0074433
3500,4,1.1e-6,0.0071314
3500,5,1.1e-6,0.0072066
3500,6,1.6e-6,0.0086193
3500,7,7.0e-7,0.0085415
3500,8,7.0e-7,0.0068165
3500,9,9.0e-7,0.0069108
3500,10,8.0e-7,0.0071601
3600,1,9.0e-7,0.0069286
3600,2,9.0e-7,0.0068124
3600,3,1.3e-6,0.0069637
3600,4,7.0e-7,0.0066143
3600,5,9.0e-7,0.0068519
3600,6,8.0e-7,0.0071486
3600,7,1.1e-6,0.0073761
3600,8,9.0e-7,0.0069735
3600,9,1.5e-6,0.0087766
3600,10,8.0e-7,0.0105076
3700,1,8.0e-7,0.0079876
3700,2,1.0e-6,0.0078956
3700,3,1.2e-6,0.007374
3700,4,7.0e-7,0.0074485
3700,5,2.3e-6,0.007432
3700,6,1.1e-6,0.0075584
3700,7,8.0e-7,0.007399
3700,8,8.0e-7,0.0085084
3700,9,7.0e-7,0.0089318
3700,10,7.0e-7,0.0075775
3800,1,9.0e-7,0.0104472
3800,2,8.0e-7,0.0092612
3800,3,9.0e-7,0.0082033
3800,4,9.0e-7,0.0077068
3800,5,8.0e-7,0.0083187
3800,6,8.0e-7,0.0077183
3800,7,8.0e-7,0.0082019
3800,8,9.0e-7,0.0077295
3800,9,8.0e-7,0.0078168
3800,10,8.0e-7,0.0078538
3900,1,8.0e-7,0.0080798
3900,2,1.0e-6,0.0082831
3900,3,8.0e-7,0.0089375
3900,4,8.0e-7,0.0081838
3900,5,9.0e-7,0.008191
3900,6,8.0e-7,0.0082053
3900,7,8.0e-7,0.0083034
3900,8,8.0e-7,0.008556
3900,9,8.0e-7,0.0089567
3900,10,1.1e-6,0.0083943
4000,1,1.0e-6,0.0090431
4000,2,8.0e-7,0.0093285
4000,3,8.0e-7,0.0084978
4000,4,8.0e-7,0.0085014
4000,5,1.2e-6,0.0089267
4000,6,8.0e-7,0.0084397
4000,7,9.0e-7,0.0088715
4000,8,8.0e-7,0.0085725
4000,9,7.0e-7,0.0086841
4000,10,8.0e-7,0.0087761
