type,n,time
dot,2000000,0.0031457
dot,2000000,0.0022179
dot,2000000,0.0022438
dot,2000000,0.0022575
dot,2000000,0.0031373
dot,2000000,0.0032802
dot,2000000,0.0032064
dot,2000000,0.0031639
dot,2000000,0.0025601
dot,2000000,0.0024998
dot,4000000,0.0043289
dot,4000000,0.0049103
dot,4000000,0.0051114
dot,4000000,0.0052193
dot,4000000,0.0070716
dot,4000000,0.0050708
dot,4000000,0.0048324
dot,4000000,0.0049003
dot,4000000,0.0047136
dot,4000000,0.0048935
dot,6000000,0.0070095
dot,6000000,0.0065205
dot,6000000,0.00713
dot,6000000,0.0066072
dot,6000000,0.0071695
dot,6000000,0.0066979
dot,6000000,0.0070555
dot,6000000,0.00686
dot,6000000,0.0069485
dot,6000000,0.0067572
dot,8000000,0.0081759
dot,8000000,0.0091349
dot,8000000,0.0093724
dot,8000000,0.0093108
dot,8000000,0.0081597
dot,8000000,0.0094081
dot,8000000,0.0081098
dot,8000000,0.0089495
dot,8000000,0.0087935
dot,8000000,0.009043
dot,10000000,0.011086
dot,10000000,0.0113272
dot,10000000,0.0102634
dot,10000000,0.0110185
dot,10000000,0.0106535
dot,10000000,0.0111622
dot,10000000,0.0112496
dot,10000000,0.0114762
dot,10000000,0.0108451
dot,10000000,0.011005
dot,12000000,0.01298
dot,12000000,0.0131985
dot,12000000,0.0129334
dot,12000000,0.0128036
dot,12000000,0.0128683
dot,12000000,0.0130096
dot,12000000,0.013454
dot,12000000,0.0123382
dot,12000000,0.0124027
dot,12000000,0.0127581
dot,14000000,0.0150043
dot,14000000,0.0150273
dot,14000000,0.0150594
dot,14000000,0.0140577
dot,14000000,0.0148044
dot,14000000,0.0149071
dot,14000000,0.0151385
dot,14000000,0.0150058
dot,14000000,0.0148817
dot,14000000,0.0140749
dot,16000000,0.0162985
dot,16000000,0.0168628
dot,16000000,0.0170502
dot,16000000,0.0166478
dot,16000000,0.0167554
dot,16000000,0.0161473
dot,16000000,0.0182472
dot,16000000,0.0171012
dot,16000000,0.0169974
dot,16000000,0.0170099
dot,18000000,0.0202354
dot,18000000,0.0179824
dot,18000000,0.0196089
dot,18000000,0.0200088
dot,18000000,0.0195109
dot,18000000,0.0193616
dot,18000000,0.0194156
dot,18000000,0.0189048
dot,18000000,0.0188802
dot,18000000,0.0186758
dot,20000000,0.0210929
dot,20000000,0.0205967
dot,20000000,0.0216385
dot,20000000,0.0207987
dot,20000000,0.0208085
dot,20000000,0.0214155
dot,20000000,0.0209767
dot,20000000,0.0208505
dot,20000000,0.0210669
dot,20000000,0.0208811
dot,22000000,0.0227125
dot,22000000,0.0230175
dot,22000000,0.0228105
dot,22000000,0.0228131
dot,22000000,0.0222532
dot,22000000,0.0221908
dot,22000000,0.0231035
dot,22000000,0.0234254
dot,22000000,0.0229405
dot,22000000,0.0226014
dot,24000000,0.0249507
dot,24000000,0.0256075
dot,24000000,0.0248091
dot,24000000,0.0251596
dot,24000000,0.0254837
dot,24000000,0.0244657
dot,24000000,0.0256639
